"Requirement_ID","Capability_ID","Journey_ID","Process_ID","Source_ID","Assumption_ID","Decision_ID","Validation_Status","Scene_Refs"
"CTT-REQ-001","CAP-001","SCN-SCOPE|SCN-ENTITY","M0.1|M1.1|M1.3","SRC-013|SRC-021","ASM-001","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SCOPE|SCN-ENTITY"
"CTT-REQ-002","CAP-002","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M2.1|M2.5","SRC-010|SRC-021","ASM-003|ASM-004","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-REQUIREMENTS"
"CTT-REQ-003","CAP-003","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M3.1|M3.4|M3.5","SRC-015|SRC-021","ASM-004|ASM-005","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SOURCE|SCN-VALIDATE"
"CTT-REQ-004","CAP-004","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M2.5|M3.3|M3.4","SRC-015|SRC-021","ASM-004","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-GAP|SCN-VALIDATE"
"CTT-REQ-005","CAP-005","SCN-POPULATION|SCN-MATCH|SCN-EDD","M4.1|M4.4|M5","SRC-016|SRC-021","ASM-003|ASM-004","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-POPULATION|SCN-MATCH|SCN-EDD"
"CTT-REQ-006","CAP-006","SCN-CONFLICTS|SCN-CREDIT|SCN-LEGAL","M7|C2|C1","SRC-019|SRC-021","ASM-001|ASM-005","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-CONFLICTS|SCN-CREDIT|SCN-LEGAL"
"CTT-REQ-007","CAP-007","SCN-ENTITY|SCN-READINESS","M1.3|M8.3","SRC-020|SRC-021","ASM-004","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-ENTITY|SCN-READINESS"
"CTT-REQ-008","CAP-008","SCN-CONFLICTS|SCN-LEGAL|SCN-QA","M7|C1|M6.6","SRC-019|SRC-020|SRC-021","ASM-005","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-CONFLICTS|SCN-LEGAL|SCN-QA"
"CTT-REQ-009","CAP-009","SCN-QA|SCN-READINESS|SCN-PUBLISH","M6|M8","SRC-020|SRC-021","ASM-004|ASM-005","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-QA|SCN-READINESS|SCN-PUBLISH"
"CTT-REQ-010","CAP-010","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M0|M3|M6|M8","SRC-021|SRC-020|SRC-021","ASM-005","","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SCOPE|SCN-GAP|SCN-QA|SCN-READINESS|SCN-PUBLISH"
