Fact_ID,Fact_Statement,Source_ID,Source_Locator,Provenance_Status,Validation_Status,Owner,Created_Date,Last_Updated,Impacted_Artifact_IDs,Notes
FACT-001,Scope is institutional end-to-end clear-to-trade beyond KYC,SRC-005,00:02:44-00:04:01,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-002,End-to-end role ecosystem with priority on Case Manager and KYC Operations,SRC-005,00:11:25-00:11:55,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-003,MVP includes HITL; target ambition is exception review,SRC-005,00:14:35-00:15:09,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-004,KPIs and SLAs are not yet available,SRC-005,00:10:46-00:12:11,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-005,Pain input is high-level and internal; no client-user walkthrough,SRC-005,00:12:51-00:13:23; 00:16:51,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-006,Map lists requirement determination and consolidation as M2.1-M2.5,SRC-007,slide 1 shape 18 and shape 291; slide 2 shape 18,PROCESS_MAP_DERIVED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-007,Map lists public/commercial sourcing and residual gap management as M3.1-M3.5,SRC-007,slides 1-2 shape 292,PROCESS_MAP_DERIVED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-008,Target map includes human resolution of complex information gaps,SRC-007,slide 2 shape 281,PROCESS_MAP_DERIVED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-009,Conflicts starts from M1 information; Legal/Credit have parallel or conditional paths,SRC-007,slide 1 shape 311; C1 and C2 lanes,PROCESS_MAP_DERIVED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
FACT-010,English-first prototype; regional compliance and PII/security remain concerns,SRC-005,00:17:58-00:18:31,MEETING_CONFIRMED,REVIEWED_NOT_CLIENT_VALIDATED,Christina,2026-09-07,2026-09-07,D0|D1|D4|D6,Source record reviewed; not independently verified against client operations
