Process_ID,Executive_Stage,Process_Stage,Trigger,Current_Actor,Current_Activity,Input,System_or_Tool,Decision_or_Rule,Output,Handoff_To,Parallel_or_Sequential,Rework_Loop,Current_Pain_Hypothesis,Target_Agentic_Treatment,Human_Judgment,Source_ID,Provenance_Status,Validation_Status
M2.1,S2,M2,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Determine AML/KYC requirements and applicable reliefs,Context and approved policy,Policy/CIP library and risk rules,Policy applicability and sufficiency to validate,Applicable AML/KYC requirements,Ask Legal about non-AML requirements when needed.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Case-by-case interpretation may produce inconsistent requests. [ASM-002],Prepare a versioned requirements set with policy references and unresolved questions. [ASM-003],MVP: confirm the requirements set. Target: standard execution only within approved authority; exceptions go to the designated expert. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M2.2,S2,M2,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Determine non-AML requirements and applicable exemptions with Legal if required,Context and non-AML policy,Policy/CIP library and risk rules,Policy applicability and sufficiency to validate,Applicable non-AML requirements,Ask Legal about non-AML requirements when needed.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Case-by-case interpretation may produce inconsistent requests. [ASM-002],Prepare a versioned requirements set with policy references and unresolved questions. [ASM-003],MVP: confirm the requirements set. Target: standard execution only within approved authority; exceptions go to the designated expert. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M2.3,S2,M2,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Consolidate requirements,Applicable requirement inputs,Policy/CIP library and risk rules,Policy applicability and sufficiency to validate,Consolidated requirements,Ask Legal about non-AML requirements when needed.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Case-by-case interpretation may produce inconsistent requests. [ASM-002],Prepare a versioned requirements set with policy references and unresolved questions. [ASM-003],MVP: confirm the requirements set. Target: standard execution only within approved authority; exceptions go to the designated expert. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M2.4,S2,M2,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Apply risk rating; identify EDD indicators; adjust requirements,Risk context and requirements,Policy/CIP library and risk rules,Policy applicability and sufficiency to validate,Risk-adjusted requirements,Ask Legal about non-AML requirements when needed.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Case-by-case interpretation may produce inconsistent requests. [ASM-002],Prepare a versioned requirements set with policy references and unresolved questions. [ASM-003],MVP: confirm the requirements set. Target: standard execution only within approved authority; exceptions go to the designated expert. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M2.5,S2,M2,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Issue client requirements,Consolidated requirements,Client communication channel and case workspace,Policy applicability and sufficiency to validate,Issued requirements,Client response returns to evidence review; Sales/RM involvement to validate.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Repeated or unclear requests may create avoidable client effort. [ASM-002],Prepare a consolidated request containing only unresolved gaps and their rationale. [ASM-003],MVP: human approves external release. Target: automatic release remains disabled until explicit policy delegation. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M3.1,S2,M3,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Source from public and commercial sources,Requirement list and entity context,"External registries, data providers and evidence repository",Policy applicability and sufficiency to validate,Sourced evidence,Sourcing result goes to evidence/gap review.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Users may switch tools and gather the same information repeatedly. [ASM-002],"Retrieve permitted evidence and attach source, retrieval time and entity match. [ASM-003]",MVP: review suggested entity matches and reuse. Target: ambiguous matches or access restrictions escalate. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M3.2,S2,M3,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Identify residual gaps,Requirements and available evidence,Requirements list and evidence repository,Policy applicability and sufficiency to validate,Gap list,Unresolved interpretation goes to the designated reviewer.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Missing provenance or unclear ownership may prolong gap resolution. [ASM-002],Match evidence to requirements and propose a residual-gap list with owners and reasons. [ASM-003],MVP: confirm the residual-gap list. Target: complex information gaps require human judgment. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M3.3,S2,M3,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Request information from client,Residual gaps,Client communication channel and case workspace,Policy applicability and sufficiency to validate,Information request,Client response returns to evidence review; Sales/RM involvement to validate.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Repeated or unclear requests may create avoidable client effort. [ASM-002],Prepare a consolidated request containing only unresolved gaps and their rationale. [ASM-003],MVP: human approves external release. Target: automatic release remains disabled until explicit policy delegation. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M3.4,S2,M3,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Capture and validate evidence,Received documents and source context,Case workspace and evidence repository,Policy applicability and sufficiency to validate,Reviewed evidence,Make suitable evidence available downstream; keep unresolved blockers visible.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Remediation may restart work when prior decisions and versions are hard to find. [ASM-002],Check evidence completeness and provenance; propose closure or a reasoned rework loop. [ASM-003],MVP: designated reviewer accepts evidence or requests remediation. Target: ambiguous sufficiency or material change escalates; S2 cannot grant trade clearance. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
M3.5,S2,M3,New relationship (synthetic pilot),KYC Operations; exact request ownership to validate,Manage outstanding gaps and sourcing audit trail,Evidence review and remaining gaps,Case workspace and evidence repository,Policy applicability and sufficiency to validate,Updated gaps and sourcing audit trail,Make suitable evidence available downstream; keep unresolved blockers visible.,Dependency-driven; not a strict waterfall,Reassess when evidence or context changes,Remediation may restart work when prior decisions and versions are hard to find. [ASM-002],Check evidence completeness and provenance; propose closure or a reasoned rework loop. [ASM-003],MVP: designated reviewer accepts evidence or requests remediation. Target: ambiguous sufficiency or material change escalates; S2 cannot grant trade clearance. [ASM-004],SRC-007,PROCESS_MAP_DERIVED,DRAFT_TARGET_FIELDS_ARE_HYPOTHESES
