object_name,field_name,physical_binding,type,required_when,nullable,source_ref,source_status,owner_role,editable_by,validation_rule,revision_rule,dependency_refs,ui_binding,sensitivity,synthetic_example,label_en_au,label_en_us,label_zh,definition,enum_or_format
"Case","baseline_revision","case.baseline_revision","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""D2-A-Final-1.0""","baseline revision","baseline revision","baseline_revision","Batch A Case.baseline_revision; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","request_id","scopes.request_id","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""DEMO-CTT-001/request/relationship""","request id","request id","request_id","Batch A Scope.request_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","request_source_ref","scopes.request_source_ref","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""DEMO-CTT-001/evidence/request-a""","request source ref","request source ref","request_source_ref","Batch A Scope.request_source_ref; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","trigger_type","scopes.trigger_type","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""new_relationship""","trigger type","trigger type","trigger_type","Batch A Scope.trigger_type; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","group_display_name","scopes.group_display_name","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Configured Scope demo role","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""Group A""","group display name","group display name","集团展示名称","Batch A Scope.group_display_name; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","relationship_intent","scopes.relationship_intent","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""new_institutional_relationship""","relationship intent","relationship intent","relationship_intent","Batch A Scope.relationship_intent; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","counterparty_entity_id","scopes.counterparty_entity_id","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","null","counterparty entity id","counterparty entity id","交易主体","Batch A Scope.counterparty_entity_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","related_party_ids","scopes.related_party_ids","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","[""DEMO-CTT-001/entity/entity-b""]","related party ids","related party ids","related_party_ids","Batch A Scope.related_party_ids; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","business_purpose","scopes.business_purpose","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Configured Scope demo role","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""FX forward for future USD procurement payments""","business purpose","business purpose","业务用途","Batch A Scope.business_purpose; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","product_scope_status","scopes.product_scope_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""draft""","product scope status","product scope status","申请产品范围状态","Batch A Scope.product_scope_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","[""draft"",""needs_review"",""recorded""]"
"Scope","product_eligibility_assessment_ref","scopes.product_eligibility_assessment_ref","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","null","product eligibility assessment ref","product eligibility assessment ref","产品资格评估","Batch A Scope.product_eligibility_assessment_ref; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","booking_jurisdiction","scopes.booking_jurisdiction","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","null","booking jurisdiction","booking jurisdiction","booking_jurisdiction","Batch A Scope.booking_jurisdiction; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
