Delta_ID,Process_ID,Node_Title_Current,Node_Title_Target,Current_Lane,Target_Lane,Delta_Type_Hypothesis,Relationship_Tag,Geometry_Confidence,What_Changed,Why,Confirmed_By,Confirmed_Delta_Type,Evidence_Status,Source_ID
BA-001,C1.1,Intake & initialise legal request,Intake & initialise legal request,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-002,C1.2,Determine required agreements / forms,Determine required agreements / forms,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-003,C1.3,Draft required agreements,Review drafted agreements,CGM Legal,CGM Legal,Enhanced,Retitled,High,Title changed: 'Draft required agreements' -> 'Review drafted agreements'.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-004,C1.4,Incorporate Credit input (if required),Incorporate Credit input (if required),CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-005,C1.5,Negotiate agreement terms,Negotiate agreement terms,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-006,C1.6,Obtain internal review & approvals,Obtain internal review & approvals,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-007,C1.7,Execute agreements,Execute agreements,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-008,C1.8,Capture key terms & store executed documents,Capture key terms & store executed documents,CGM Legal,CGM Legal,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-009,C2.1,Determine credit requirement,Determine credit requirement,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-010,C2.2,Retrieve & validate financial / exposure data,Retrieve & validate financial / exposure data,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-011,C2.3,Assess counterparty credit risk,Assess counterparty credit risk,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-012,C2.4,Determine credit limit & conditions,Determine credit limit & conditions,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-013,C2.5,Obtain credit approval,Obtain credit approval,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-014,C2.6,Provide Credit Agreement data to Legal,Provide Credit Agreement data to Legal,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-015,C2.7,Review / approve final agreement & data,Review / approve final agreement & data,Credit,Credit,Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-016,M0.1,Determine sales location & reporting / booking entity,Initiation relationship/ product request,Sales / RM (Front Office),Agentic execution | Sales / RM (Front Office),Unconfirmed,Duplicate ID,Medium - ID drawn more than once,"This ID is drawn more than once, with different titles or lanes (target: 'Initiation relationship/ product request' [Sales / RM (Front Office)] || 'Determine sales location & reporting / booking entity' [Agentic execution]). The delta type below compares only the first instance of each. Rule on which is authoritative, or split the ID.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-017,M0.2,Confirm & validate approved product / service scope,Confirm & validate approved product / service scope,Sales / RM (Front Office),Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Sales / RM (Front Office) -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-018,M0.3,Determine DD level,Determine DD level,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-019,M0.4,Record booking model,Record booking model,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-020,M1.1,Submit onboarding request & capture initial client / relationship,Submit onboarding request & capture initial client / relationship,Sales / RM (Front Office),Sales / RM (Front Office),Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-021,M1.2,Receive onboarding request info,Receive onboarding request info,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-022,M1.3,Create onboarding case & working repository,Create onboarding case & working repository,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-023,M1.4,Confirm client legal name & location,Confirm client legal name & location,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-024,M1.5,Classify client / legal entity type & triage case,Classify client / legal entity type & triage case,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
