Question_ID,Question,Category,Source_ID,Assumption_ID,Decision_Owner,Target_Audience,Target_Gate,Due_Date,Status,Resolution,Decision_ID,Impacted_Artifact_IDs,Notes
Q-001,"Who owns requirement approval, evidence sufficiency and client request release?",AUTHORITY,SRC-005|SRC-007,ASM-001|ASM-004,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
Q-002,"Which policy version, relief rules, evidence sources and reuse/freshness criteria are approved?",POLICY_DATA,SRC-007,ASM-003,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
Q-003,What changes reopen requirements and who resolves disputed evidence?,STATE,SRC-007,ASM-005,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
Q-004,Can the parent Miro production specification resolve the provisional eleven-lane and L0/L1/L2 definitions?,LAYOUT,SRC-004,ASM-006,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
Q-005,"How should duplicate M0.1 labels, struck-through target steps and QA/final-clearance authority be interpreted?",PROCESS_CONFLICT,SRC-007,,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
Q-006,What are the confirmed pre-meet and workshop dates given the conflicting October dry-run proposal?,SCHEDULE,SRC-005|SRC-007,,Christina,Process authors and relevant client owners,UX1,,OPEN,,,D1|D4|D6|D11,Question only; no external request sent
"Q-007","Where does Case Manager coordination end and KYC Operations evidence judgment begin?","ROLE_BOUNDARY","SRC-021","ASM-001","Christina","Client operations owner","Friday review","","OPEN","","","SCN-SCOPE|SCN-REQUIREMENTS|SCN-QA|CTT-REQ-001|CTT-REQ-002","F consolidation; no client answer inferred; Case Manager coordinates; KYC Ops assesses evidence; not confirmed"
"C-Q-POPULATION","Which parties and categories are required in the screening population and who confirms completeness?","APPLICABILITY","SRC-021","ASM-003","Christina","Financial Crime and policy owner","Friday review","","OPEN","","","SCN-POPULATION|SCN-MATCH|CTT-REQ-005","F consolidation; no client answer inferred; Authored scoped inventory; unknown coverage blocks"
"C-Q-EDD-APPLICABILITY","Who determines EDD applicability, makes the judgment and approves its outcome?","APPLICABILITY","SRC-021","ASM-004","Christina","Financial Crime / EDD authority owner","Friday review","","OPEN","","","SCN-EDD|CTT-REQ-005","F consolidation; no client answer inferred; Independent applicability review; no universal trigger from a possible match"
"Q-008","What minimum inputs permit Legal and Credit to start preparation before other branches close?","DEPENDENCY","SRC-021","ASM-005","Christina","Legal and Credit process owners","Friday review","","OPEN","","","SCN-CREDIT|SCN-LEGAL|CTT-REQ-006","F consolidation; no client answer inferred; Preparation uses its own permitted inputs; current Credit required before Legal execution"
"C-Q-COLLABORATION","Which client submission and secure task channels, authentication and disclosure policies are approved?","CHANNEL","SRC-021","ASM-004","Christina","Client channels / security / operations owner","Friday review","","OPEN","","","SCN-GAP|SCN-VALIDATE|CTT-REQ-004","F consolidation; no client answer inferred; Local synthetic request with separate mock authentication and scoped grants"
"Q-009","Which Screening, Conflicts and Risk details may the RM see?","VISIBILITY","SRC-021","ASM-004","Christina","Compliance and relationship management owner","Friday review","","OPEN","","","SCN-MATCH|SCN-CONFLICTS|CTT-REQ-004|CTT-REQ-005","F consolidation; no client answer inferred; RM gets allowlisted progress; restricted rationale excluded"
"C-Q-HOLD","Who chooses task, branch or case hold scope and approves release?","HOLD_SCOPE","SRC-021","ASM-005","Christina","Operations and relevant specialist owner","Friday review","","OPEN","","","SCN-CONFLICTS|SCN-LEGAL|SCN-QA|CTT-REQ-008","F consolidation; no client answer inferred; Unknown scope blocks dependent actions; absence of an edge is not independence"
"Q-010","Which downstream systems receive structured Clear-to-Trade state and what is their acknowledgement contract?","INTEGRATION","SRC-021","ASM-005","Christina","Trading / risk system owner","Friday review","","OPEN","","","SCN-PUBLISH|CTT-REQ-009","F consolidation; no client answer inferred; Named synthetic outcome register only; no production integration"
"Q-011","Who owns publication failures, retry, reconciliation and notification?","PUBLICATION","SRC-021","ASM-001","Christina","Operations and downstream support owner","Friday review","","OPEN","","","SCN-PUBLISH|CTT-REQ-009","F consolidation; no client answer inferred; Case Manager can simulate retry; failure preserves current clearance decision"
"Q-012","Is this synthetic Hero Case representative enough for Workshop validation, and which limitations must be stated?","REPRESENTATIVENESS","SRC-021","ASM-002","Christina","Workshop sponsor and process authors","Friday review","","OPEN","","","SCN-SCOPE|SCN-PUBLISH|CTT-REQ-001|CTT-REQ-010","F consolidation; no client answer inferred; One synthetic Entity A FX-forward case only; no volume or KPI claims"
