"scenario_id","authoring_status","process_refs","journey_crosswalk","crosswalk_status","source_status","work_item_ids"
"SCN-SCOPE","authored_d2_batch_a","SRC-007:slide2:Target:M0.1-M0.4|SRC-007:slide2:Target:M1.1","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-ENTITY","authored_d2_batch_a","SRC-007:slide2:Target:M1.3-M1.5|SRC-007:slide2:Target:M3.4","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-REQUIREMENTS","authored_round_a","SRC-007:slide2:Target:M2.1-M2.5","J-M2-01|J-M3-03","existing_exact_ids","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/requirements"
"SCN-SOURCE","authored_round_a","SRC-007:slide2:Target:M3.1-M3.2","J-M3-01","existing_exact_ids","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/reuse"
"SCN-GAP","authored_round_a","SRC-007:slide2:Target:M2.5|SRC-007:slide2:Target:M3.2-M3.3","J-M3-02|J-M3-03","existing_exact_ids","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/residual-request"
"SCN-VALIDATE","authored_round_a","SRC-007:slide2:Target:M3.4-M3.5","J-M3-04","existing_exact_ids","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/review-receive"
"SCN-POPULATION","skeleton","SRC-007:slide2:Target:M4.1-M4.4","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-MATCH","authored_round_a","SRC-007:slide2:Target:M4.5-M4.7","","no_existing_journey_id","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/screening-review"
"SCN-EDD","skeleton","SRC-007:slide2:Target:M5","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-CONFLICTS","skeleton","SRC-007:slide2:Target:M7","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-LEGAL","skeleton","SRC-007:slide2:Target:C1","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-CREDIT","skeleton","SRC-007:slide2:Target:C2","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-QA","skeleton","SRC-007:slide2:Target:M6","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
"SCN-READINESS","authored_round_a","SRC-007:slide2:Target:M8.1","","no_existing_journey_id","DESIGN-HYPOTHESIS","DEMO-CTT-001/work/readiness"
"SCN-PUBLISH","skeleton","SRC-007:slide2:Target:M8.2-M8.5","","no_existing_journey_id","DESIGN-HYPOTHESIS",""
