"process","role","activity","activity_zh","scene_id","current_source_instances","target_source_instances","pain_source_labels","required_inputs","expected_local_outputs","mapping_status"
"M0","Client","Provide initial relationship information","提供初始客户关系信息","SCN-SCOPE","SRC-007 p1 · contextual:M0 · Client","SRC-007 p2 · contextual:M0 · Client","SRC-007 p4 · Client intake | SRC-007 p5 · Stakeholder repetition","Scoped relationship and product questions","Submitted relationship and product information; not accepted evidence","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M2","Client","Respond to requirements and clarifications","回应要求与澄清事项","SCN-REQUIREMENTS","SRC-007 p1 · contextual:M2 · Client","SRC-007 p2 · contextual:M2 · Client","SRC-007 p5 · Multiple handoffs | SRC-007 p5 · Stakeholder repetition","Versioned requirements and specific clarification questions","Submitted requirement responses; not accepted evidence","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M3","Client","Provide requested documents and information","提供所需文件与信息","SCN-GAP","SRC-007 p1 · contextual:M3 · Client","SRC-007 p2 · contextual:M3 · Client","SRC-007 p5 · Multiple handoffs | SRC-007 p5 · Re-work & duplication","Scoped document request with purpose and due date","Submitted information and documents; not accepted evidence","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M4","Client","Respond to screening clarifications","回应筛查澄清事项","SCN-MATCH","SRC-007 p1 · contextual:M4 · Client","SRC-007 p2 · contextual:M4 · Client","SRC-007 p4 · AML Screening | SRC-007 p5 · Stakeholder repetition","Explained screening clarification request and requested facts","Submitted screening clarification; not a screening decision","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M5","Client","Provide EDD information","提供强化尽调信息","SCN-EDD","SRC-007 p1 · contextual:M5 · Client","SRC-007 p2 · contextual:M5 · Client","SRC-007 p5 · Stakeholder repetition | SRC-007 p5 · Slow onboarding","Scoped EDD questions and requested SoF / SoW material","Submitted EDD information; not an EDD approval","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M6","Client","Respond to QA gap requests","回应质量检查缺口请求","SCN-QA","SRC-007 p1 · contextual:M6 · Client","SRC-007 p2 · contextual:M6 · Client","SRC-007 p5 · Re-work & duplication | SRC-007 p5 · Slow onboarding","Named QA evidence gap and scoped response request","Submitted QA gap response; not accepted evidence or sign-off","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M8","Client","Receive outcome and next steps","接收结果与后续步骤","SCN-PUBLISH","SRC-007 p1 · contextual:M8 · Client","SRC-007 p2 · contextual:M8 · Client","SRC-007 p5 · Slow onboarding","Published clearance outcome and communication context","Client-visible outcome acknowledgement and next-step questions","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M0","Sales / RM (Front Office)","Initiate and shape relationship scope","发起并界定客户关系范围","SCN-SCOPE","SRC-007 p1 · M0.1 · Sales / RM (Front Office) | SRC-007 p1 · M0.2 · Sales / RM (Front Office)","SRC-007 p2 · M0.1 · Sales / RM (Front Office) | SRC-007 p2 · M0.1 · Agentic execution | SRC-007 p2 · M0.2 · Agentic execution","SRC-007 p4 · Client intake","Entity A relationship request and proposed FX forward scope","Scoped relationship, product, sales location and booking-entity request","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M1","Sales / RM (Front Office)","Submit onboarding request","提交开户申请","SCN-ENTITY","SRC-007 p1 · M1.1 · Sales / RM (Front Office)","SRC-007 p2 · M1.1 · Sales / RM (Front Office)","SRC-007 p5 · Multiple handoffs | SRC-007 p5 · Re-work & duplication","Scoped relationship details and approved product request","Submitted onboarding request with identified unknowns","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M3","Sales / RM (Front Office)","Request client information","向客户索取信息","SCN-GAP","SRC-007 p1 · M3.3 · Sales / RM (Front Office)","SRC-007 p2 · M3.3 · Agentic execution","SRC-007 p5 · Stakeholder repetition","Named residual gaps and client-safe questions","Scoped client information request with purpose and status","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
