content_id,miro_item_id,frame_code,item_type,x,y,width,height,parent_frame_id,status,last_updated,notes
"F00A","3458764682843351765","F00A","g","0","0","1680","3100","","READ_BACK_VERIFIED","2026-09-07","Absolute canvas origin"
"F00A-INTRO","3458764682843351771","F00A","textArea","80","60","1520","62","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-STAGE","3458764682843351772","F00A","rect","80","180","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-LANE","3458764682843351773","F00A","rect","444","180","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-ACTION","3458764682843351774","F00A","rect","808","180","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-JOB","3458764682843351775","F00A","rect","1172","180","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-SYSTEM","3458764682843351776","F00A","rect","80","380","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-HANDOFF","3458764682843351777","F00A","rect","444","380","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-PAIN","3458764682843351778","F00A","rect","808","380","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-ROOT","3458764682843351779","F00A","rect","1172","380","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-AGENTIC","3458764682843351780","F00A","rect","80","580","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-HUMAN","3458764682843351781","F00A","rect","444","580","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-STATE","3458764682843351782","F00A","rect","808","580","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-QUESTION","3458764682843351783","F00A","rect","1172","580","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-CAPABILITY","3458764682843351784","F00A","rect","80","780","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-REQUIREMENT","3458764682843351785","F00A","rect","444","780","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-SAMPLE-VARIANT","3458764682843351787","F00A","rect","808","780","340","180","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-REQ-A","3458764682843351789","F00A","rect","80","1080","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-REQ-B","3458764682843351790","F00A","rect","580","1080","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-OPT-A","3458764682843351791","F00A","rect","80","1240","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-OPT-B","3458764682843351792","F00A","rect","580","1240","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-PAR-A","3458764682843351793","F00A","rect","80","1400","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-PAR-B","3458764682843351794","F00A","rect","580","1400","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-LOOP-A","3458764682843351795","F00A","rect","80","1560","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-LOOP-B","3458764682843351796","F00A","rect","580","1560","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-DEC-A","3458764682843351797","F00A","rect","80","1720","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-DEC-B","3458764682843351798","F00A","rect","580","1720","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-DATA-A","3458764682843351799","F00A","rect","80","1880","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-DATA-B","3458764682843351800","F00A","rect","580","1880","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-STATE-A","3458764682843351801","F00A","rect","80","2040","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-STATE-B","3458764682843351802","F00A","rect","580","2040","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-ESC-A","3458764682843351803","F00A","rect","80","2200","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-ESC-B","3458764682843351804","F00A","rect","580","2200","340","120","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-FEEDBACK-TITLE","3458764682843351805","F00A","textArea","80","2400","1450","62","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-FEEDBACK-AREA","3458764682843351806","F00A","rect","80","2540","1500","450","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F00A-CON-REQ","3458764682843351807","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-OPT","3458764682843351808","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-PAR","3458764682843351809","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-LOOP","3458764682843351810","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-DEC","3458764682843351811","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-DATA","3458764682843351812","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-STATE","3458764682843351813","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F00A-CON-ESC","3458764682843351814","F00A","line","","","","","3458764682843351765","READ_BACK_VERIFIED","2026-09-07","Native start/end references verified; bounds not returned"
"F02","3458764682843351902","F02","g","2050","-160","1980","1100","","READ_BACK_VERIFIED","2026-09-07","Absolute canvas origin"
"F02-INTRO","3458764682843351903","F02","textArea","80","60","1820","62","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-S1","3458764682843351904","F02","rect","80","180","340","170","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-S2","3458764682843351905","F02","rect","444","180","340","170","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-S3","3458764682843351906","F02","rect","808","180","340","170","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-S4","3458764682843351907","F02","rect","1172","180","340","170","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-S5","3458764682843351908","F02","rect","1536","180","340","170","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-L0","3458764682843351909","F02","rect","80","420","340","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-L1","3458764682843351910","F02","rect","444","420","340","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-L2","3458764682843351911","F02","rect","808","420","340","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-PAR","3458764682843351912","F02","rect","1172","420","340","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-GAP","3458764682843351913","F02","rect","1536","420","340","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-NAV","3458764682843495988","F02","textArea","80","690","1800","31","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F02-SYNTHETIC-CASE","3458764682843495990","F02","rect","80","800","1800","220","3458764682843351902","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04","3458764682843351920","F04","g","4230","1100","2316","2916","","READ_BACK_VERIFIED","2026-09-07","Absolute canvas origin"
"F04-INTRO","3458764682843351921","F04","textArea","80","60","2156","62","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L01-LABEL","3458764682843351922","F04","rect","80","240","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L02-LABEL","3458764682843351923","F04","rect","80","476","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L03-LABEL","3458764682843351924","F04","rect","80","712","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L04-LABEL","3458764682843351925","F04","rect","80","948","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L05-LABEL","3458764682843351926","F04","rect","80","1184","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L06-LABEL","3458764682843351927","F04","rect","80","1420","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
"F04-L07-LABEL","3458764682843351928","F04","rect","80","1656","320","220","3458764682843351920","READ_BACK_VERIFIED","2026-09-07","Frame-relative coordinates"
