"Requirement_ID","Requirement_Title","Capability_ID","Journey_ID","Process_ID","Persona_ID","Job_to_Be_Done","Current_Problem","Product_Behaviour","Autonomy_Level","Human_Control","Trigger","Input_Data","Tool_or_Integration","Output","State_Change","Acceptance_Hypothesis","Client_Experience_Score","Operational_Value_Score","Control_Criticality_Score","Agentic_Suitability_Score","Data_Readiness_Score","Integration_Feasibility_Score","Time_to_Value_Score","MVP_Priority","Source_ID","Assumption_ID","Validation_Status","Scene_Refs","Permission_Assumption_Refs","Acceptance_Criteria_Refs","Workshop_Facing","Product_Behaviour_zh","Human_Control_zh","Acceptance_Hypothesis_zh"
"CTT-REQ-001","Establish one versioned entity and product context","CAP-001","SCN-SCOPE|SCN-ENTITY","M0.1|M1.1|M1.3","ROLE-CASEMGR","Establish one versioned entity and product context","Scope changes can invalidate downstream work","The product shall retain the legal entity, product and scope revision and display unknown booking context explicitly.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Human confirms scope; coordination does not confer signing or trading authority","new-relationship","scope|entities|authorities","local_simulation_only","working scope revision","Explicit guarded Product action only; views are read-only","AC-F01: Given Entity A requests FX forward and Person T works for reported parent B; When working scope is recorded; Then Entity A remains the counterparty and coordination does not grant signing or trading authority.","","","","","","","","","SRC-013|SRC-021","ASM-001","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SCOPE|SCN-ENTITY","Q-007","AC-F01","true","产品应保留法人、产品与范围版本，并明确显示未知的 booking 背景。","人工确认范围；协调资料不授予签署或交易权限。","AC-F01: 给定主体 A 申请外汇远期且 Person T 任职于申报母公司 B；当记录工作范围时；则主体 A 保持为交易对手，协调资料不会授予签署或交易权限。"
"CTT-REQ-002","Make applicable requirements and unresolved applicability explicit","CAP-002","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M2.1|M2.5","ROLE-KYCOPS","Make applicable requirements and unresolved applicability explicit","Opaque applicability can cause unnecessary requests or missed requirements","The product shall version requirements for the current scope and retain unknown applicability until an explicit reviewed decision.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Human confirms the requirement set; unknown applicability is unresolved","new-relationship","scope|requirements","local_simulation_only","versioned requirements","Explicit guarded Product action only; views are read-only","AC-F02: Given applicability is unknown; When the requirement set is presented; Then unknown remains explicit and cannot satisfy readiness or become not_required.","","","","","","","","","SRC-010|SRC-021","ASM-003|ASM-004","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-REQUIREMENTS","Q-002","AC-F02","true","产品应按当前范围保存要求版本，并保留未知适用性，直到记录明确的复核决定。","人工确认要求集；未知适用性仍待解决。","AC-F02: 给定适用性未知；当显示要求集时；则未知保持明确，不得满足就绪条件，也不得变为不适用。"
"CTT-REQ-003","Reuse evidence only for a reviewed purpose and current version","CAP-003","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M3.1|M3.4|M3.5","ROLE-KYCOPS","Reuse evidence only for a reviewed purpose and current version","A file can support one fact but not a different evidence use","The product shall separate artifact receipt from purpose-specific sufficiency and retain prior claims, assessments and versions.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Reviewer records purpose-specific sufficiency with reason; receipt is not acceptance","new-relationship","evidence|claims|requirements","local_simulation_only","evidenceUseAssessments","Explicit guarded Product action only; views are read-only","AC-F03: Given an artifact is received and its purpose assessment is insufficient; When the case is reevaluated; Then the linked requirement stays unsatisfied and file presence alone cannot make the case ready.","","","","","","","","","SRC-015|SRC-021","ASM-004|ASM-005","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SOURCE|SCN-VALIDATE","Q-003","AC-F03","true","产品应区分资料收取与特定用途的充分性，并保留先前声明、评估和版本。","复核人员须记录用途充分性及理由；收到资料不等于接受证据。","AC-F03: 给定已收到资料但其用途评估仍不充分；当重新评估案件时；则关联要求保持未满足，不能仅因文件存在而就绪。"
"CTT-REQ-004","Request only residual facts from permitted contributors","CAP-004","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M2.5|M3.3|M3.4","ROLE-KYCOPS|ROLE-RM|ROLE-CLIENT","Request only residual facts from permitted contributors","Broad requests and uncontrolled disclosure can expose unrelated data","The product shall show a contributor only explicitly granted request items and preserve partial submission and independent review status.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Request review, dispatch, authentication, grant and business authority are separate","new-relationship","requestItems|requestRecipients|accessGrants","local_simulation_only","submissions|evidence","Explicit guarded Product action only; views are read-only","AC-F04: Given two request items have separate contributor grants; When one contributor submits one item; Then only its receipt changes and the other item and overall clearance stay unresolved.","","","","","","","","","SRC-015|SRC-021","ASM-004","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-GAP|SCN-VALIDATE","C-Q-COLLABORATION","AC-F04","true","产品应仅向贡献者显示明确获授权的请求项目，并保留部分提交及独立复核状态。","请求复核、派发、认证、访问授权和业务代表权限分别判断。","AC-F04: 给定两个请求项目分别授权给不同贡献者；当一人提交一个项目时；则仅该项目的收取状态变化，另一项目与整体准入仍未解决。"
"CTT-REQ-005","Review the right population and distinguish possible matches","CAP-005","SCN-POPULATION|SCN-MATCH|SCN-EDD","M4.1|M4.4|M5","ROLE-FINCRIME","Review the right population and distinguish possible matches","Wrong subject or missing coverage can produce false reassurance","The product shall bind runs and findings to a scoped population and preserve unknown coverage and EDD applicability independently.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Specialist makes disposition; EDD applicability has its own reviewed basis","new-relationship","screeningPopulations|screeningMemberships|screeningRuns","local_simulation_only","screeningReviewDecisions|eddApplicabilityAssessments","Explicit guarded Product action only; views are read-only","AC-F05: Given population scope is empty, stale or unconfirmed; When screening or readiness is evaluated; Then coverage is not complete and the case cannot become ready.","","","","","","","","","SRC-016|SRC-021","ASM-003|ASM-004","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-POPULATION|SCN-MATCH|SCN-EDD","C-Q-POPULATION|C-Q-EDD-APPLICABILITY","AC-F05","true","产品应将筛查运行与发现关联到限定范围的群体，并分别保留未知覆盖与 EDD 适用性。","专业人员作出处置；EDD 适用性需独立复核依据。","AC-F05: 给定筛查群体为空、过时或未经确认；当评估筛查或就绪时；则不得视为覆盖完整，案件不能因此就绪。"
"CTT-REQ-006","Continue permitted preparation while exposing scoped waits","CAP-006","SCN-CONFLICTS|SCN-CREDIT|SCN-LEGAL","M7|C2|C1","ROLE-CONFLICTS|ROLE-CREDIT|ROLE-LEGAL","Continue permitted preparation while exposing scoped waits","Unversioned handoffs can leave Legal using old Credit inputs","The product shall show the current Credit condition and the exact revision consumed by Legal while allowing only independently permitted preparation.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Specialists own decisions; preparation, approval and execution stay separate","new-relationship","creditConditions|agreementInputs|dependencies","local_simulation_only","legalAgreements|clearanceConditions","Explicit guarded Product action only; views are read-only","AC-F06: Given a Credit input changes after Legal consumed it; When Legal is reviewed; Then its consumed version is visibly stale and execution/readiness remains blocked until reviewed.","","","","","","","","","SRC-019|SRC-021","ASM-001|ASM-005","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-CONFLICTS|SCN-CREDIT|SCN-LEGAL","Q-008","AC-F06","true","产品应显示当前信贷条件以及法务实际使用的具体版本，仅允许具备独立前提的准备工作。","专业人员负责决定；准备、批准和签署分别记录。","AC-F06: 给定法务采用信贷输入后该输入发生变化；当复核法务状态时；则明确标记所用版本过时，在复核前阻止签署与就绪。"
"CTT-REQ-007","Make accountable decisions explicit and scope-bound","CAP-007","SCN-ENTITY|SCN-READINESS","M1.3|M8.3","ROLE-CLEARANCE-REVIEWER","Make accountable decisions explicit and scope-bound","Task completion can be mistaken for an authorised decision","The product shall require current scoped readiness, configured authority and an explicit human confirmation before recording clearance.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Only configured synthetic authority can confirm; actual bank authority remains unknown","new-relationship","authorities|readinessSnapshots","local_simulation_only","clearanceDecisions","Explicit guarded Product action only; views are read-only","AC-F07: Given readiness is ready for authorised confirmation and no decision is recorded; When QA, RM or an unknown role attempts confirmation; Then the action is rejected and no clearance decision is created.","","","","","","","","","SRC-020|SRC-021","ASM-004","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-ENTITY|SCN-READINESS","Q-005","AC-F07","true","产品应在记录准入前，要求当前限定范围的就绪依据、已配置权限及明确人工确认。","仅已配置的合成权限可以确认；真实银行权限仍未知。","AC-F07: 给定已就绪等待获授权确认但尚未记录决定；当 QA、客户经理或未知角色尝试确认时；则拒绝该操作，且不生成准入决定。"
"CTT-REQ-008","Explain affected, unaffected and unresolved work","CAP-008","SCN-CONFLICTS|SCN-LEGAL|SCN-QA","M7|C1|M6.6","ROLE-CASEMGR","Explain affected, unaffected and unresolved work","Blanket rework or missed dependencies obscures impact","The product shall identify exact affected requirements, evidence uses and downstream dependencies without declaring unmodelled work independent.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Hold owner and release basis must be explicit; absence of an edge is not independence","new-relationship","dependencies|holds|qaFindings","local_simulation_only","scoped impact projection","Explicit guarded Product action only; views are read-only","AC-F08: Given a branch hold with explicit current dependencies; When impact is projected; Then affected work is identified, unrelated work requires an explicit permitted basis, and unknown dependencies remain unknown.","","","","","","","","","SRC-019|SRC-020|SRC-021","ASM-005","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-CONFLICTS|SCN-LEGAL|SCN-QA","C-Q-HOLD","AC-F08","true","产品应识别具体受影响要求、证据用途及下游依赖，不将未建模工作声明为独立。","暂停责任人与解除依据必须明确；缺少依赖边不证明独立。","AC-F08: 给定条线暂停和明确的当前依赖；当显示影响时；则标明受影响工作，无关工作须有明确获准依据，未知依赖保持未知。"
"CTT-REQ-009","Keep readiness, authorised confirmation and publication separate","CAP-009","SCN-QA|SCN-READINESS|SCN-PUBLISH","M6|M8","ROLE-QA|ROLE-CLEARANCE-REVIEWER|ROLE-CASEMGR","Keep readiness, authorised confirmation and publication separate","Aggregated green statuses can hide missing basis or failed publication","The product shall evaluate all current applicable prerequisites and retain a clearance decision when a separate publication attempt fails.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","QA signs off separately; authorised reviewer confirms; publication is a separate simulated action","new-relationship","clearanceConditions|dependencies|holds|readinessSnapshots","local_simulation_only","readinessSnapshots|clearanceDecisions|publicationEvents","Explicit guarded Product action only; views are read-only","AC-F09: Given all applicable prerequisites are satisfied without an authorised decision; When readiness is evaluated; Then it is READY_FOR_AUTHORISED_CONFIRMATION, not CLEARED_TO_TRADE; after an authorised decision a publication failure retains that decision and executes no trade.","","","","","","","","","SRC-020|SRC-021","ASM-004|ASM-005","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-QA|SCN-READINESS|SCN-PUBLISH","Q-005|Q-010|Q-011","AC-F09","true","产品应评估全部当前适用前提；独立发布尝试失败时仍保留准入决定。","QA 单独签核，获授权复核人员确认；发布为另一个模拟操作。","AC-F09: 给定全部适用前提已满足但尚无获授权决定；当评估就绪时；则为 READY_FOR_AUTHORISED_CONFIRMATION，不能为 CLEARED_TO_TRADE。明确确认后如发布失败，应保留决定且不执行交易。"
"CTT-REQ-010","Explain outcomes and return to saved work without rewriting history","CAP-010","J-M2-01|J-M3-01|J-M3-02|J-M3-04","M0|M3|M6|M8","ROLE-CASEMGR|ROLE-QA","Explain outcomes and return to saved work without rewriting history","A presentation or stale return can obscure provenance or saved work","The product shall preserve the current saved revision and semantic location across Story, Product, Return, language, print and optional Lab views.","MVP_HUMAN_REVIEW; TARGET_AUTHORITY_TO_VALIDATE","Source support is not bank approval; optional Lab reads only and no injection is enabled","new-relationship","auditEvents|returnToken|source_refs","local_simulation_only","read-only projections|preserved history","Explicit guarded Product action only; views are read-only","AC-F10: Given saved work at a scene and viewport; When Product returns after language change or Story/graph/Lab/print is used; Then the latest language and saved revision remain and no view control records a business decision.","","","","","","","","","SRC-021|SRC-020|SRC-021","ASM-005","REQUIREMENT_HYPOTHESIS_NOT_BANK_REQUIREMENT","SCN-SCOPE|SCN-GAP|SCN-QA|SCN-READINESS|SCN-PUBLISH","Q-012","AC-F10","true","产品应在故事、产品、返回、语言、打印及可选 Lab 视角间保留当前保存版本与语义位置。","来源支持不等于银行批准；可选 Lab 只读，不启用注入。","AC-F10: 给定某场景与视野中已有保存工作；当更改语言后从产品返回，或使用故事、图示、Lab、打印时；则保留最新语言和保存版本，视图控件不会记录业务决定。"
