Scenario,Stable_SCN_ID,Scenario_Title,Relationship,Source_Action,Source_Title_from_existing_dictionary,Current_Lane,Target_Lane,Source_Notes,Existing_Work_Items_with_this_anchor,Review_Status
S1,SCN-SCOPE,Define onboarding scope,primary,M0.1,Determine sales location & reporting / booking entity,Sales / RM (Front Office),Agentic execution | Sales / RM (Front Office),ID drawn 2 times on the target map: Initiation relationship/ product request [Sales / RM (Front Office)] || Determine sales location & reporting / booking entity [Agentic execution]. Confirm which is authoritative.,D3-SCOPE-01; D3-SCOPE-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M0.2,Confirm & validate approved product / service scope,Sales / RM (Front Office),Agentic execution,,D3-SCOPE-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M0.3,Determine DD level,Client Fulfilment / KYC Ops,Agentic execution,,D3-SCOPE-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M0.4,Record booking model,Client Fulfilment / KYC Ops,Agentic execution,,D3-SCOPE-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M1.1,Submit onboarding request & capture initial client / relationship,Sales / RM (Front Office),Sales / RM (Front Office),,D3-SCOPE-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M1.2,Receive onboarding request info,Client Fulfilment / KYC Ops,Agentic execution,,D3-SCOPE-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,primary,M1.3,Create onboarding case & working repository,Client Fulfilment / KYC Ops,Agentic execution,,D3-SCOPE-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S1,SCN-SCOPE,Define onboarding scope,related,M2.4,"Apply risk rating, identify EDD indicators & adjust requirements",Client Fulfilment / KYC Ops,Agentic execution,,D3-SCOPE-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,primary,M1.4,Confirm client legal name & location,Client Fulfilment / KYC Ops,Agentic execution,,D3-ENTITY-01; D3-ENTITY-03; D3-ENTITY-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,primary,M1.5,Classify client / legal entity type & triage case,Client Fulfilment / KYC Ops,Agentic execution,,D3-ENTITY-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,related,M1.3,Create onboarding case & working repository,Client Fulfilment / KYC Ops,Agentic execution,,D3-ENTITY-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,related,M2.1,Determine AML / KYC requirements & applicable reliefs,Client Fulfilment / KYC Ops,Agentic execution,,D3-ENTITY-04; D3-ENTITY-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,related,M3.3,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.,D3-ENTITY-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S2,SCN-ENTITY,Confirm entity & authority,related,M3.4,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,,D3-ENTITY-03; D3-ENTITY-04; D3-ENTITY-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,primary,M2.1,Determine AML / KYC requirements & applicable reliefs,Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-01; D3-REQUIREMENTS-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,primary,M2.2,Determine non-AML requirements & applicable exemption (With Legal if required),Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,primary,M2.3,Consolidate requirements,Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-03; D3-REQUIREMENTS-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,primary,M2.4,"Apply risk rating, identify EDD indicators & adjust requirements",Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,primary,M2.5,Issue client requirements,Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,related,M0.4,Record booking model,Client Fulfilment / KYC Ops,Agentic execution,,D3-REQUIREMENTS-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S3,SCN-REQUIREMENTS,Determine applicable requirements,related,M3.3,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.,D3-REQUIREMENTS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S4,SCN-SOURCE,Reuse existing evidence,primary,M3.1,Source from public & commercial sources,Client Fulfilment / KYC Ops,Agentic execution,,D3-SOURCE-01; D3-SOURCE-02; D3-SOURCE-03; D3-SOURCE-04; D3-SOURCE-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S4,SCN-SOURCE,Reuse existing evidence,primary,M3.5,Manage outstanding gaps & sourcing audit trail,Client Fulfilment / KYC Ops,Agentic execution,,D3-SOURCE-02; D3-SOURCE-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S4,SCN-SOURCE,Reuse existing evidence,related,M3.2,Identify residual gaps,Client Fulfilment / KYC Ops,Agentic execution,,D3-SOURCE-04; D3-SOURCE-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S4,SCN-SOURCE,Reuse existing evidence,related,M3.4,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,,D3-SOURCE-03; D3-SOURCE-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S5,SCN-GAP,Request & submit missing information,primary,M3.2,Identify residual gaps,Client Fulfilment / KYC Ops,Agentic execution,,D3-GAP-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S5,SCN-GAP,Request & submit missing information,primary,M3.3,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.,D3-GAP-02; D3-GAP-03; D3-GAP-04; D3-GAP-05; D3-GAP-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S5,SCN-GAP,Request & submit missing information,primary,M3.5,Manage outstanding gaps & sourcing audit trail,Client Fulfilment / KYC Ops,Agentic execution,,D3-GAP-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S5,SCN-GAP,Request & submit missing information,related,M2.5,Issue client requirements,Client Fulfilment / KYC Ops,Agentic execution,,D3-GAP-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S5,SCN-GAP,Request & submit missing information,related,M3.4,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,,D3-GAP-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S6,SCN-VALIDATE,Assess evidence for purpose,primary,M3.4,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,,D3-VALIDATE-01; D3-VALIDATE-02; D3-VALIDATE-03; D3-VALIDATE-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S6,SCN-VALIDATE,Assess evidence for purpose,primary,M3.5,Manage outstanding gaps & sourcing audit trail,Client Fulfilment / KYC Ops,Agentic execution,,D3-VALIDATE-05; D3-VALIDATE-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S6,SCN-VALIDATE,Assess evidence for purpose,related,M3.3,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.,D3-VALIDATE-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S7,SCN-POPULATION,Establish screening population,primary,M4.1,Initial risk pre-screening,Client Fulfilment / KYC Ops,Agentic execution,,D3-POPULATION-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S7,SCN-POPULATION,Establish screening population,primary,M4.2,Early adverse-media screen,Client Fulfilment / KYC Ops,Agentic execution,,D3-POPULATION-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S7,SCN-POPULATION,Establish screening population,primary,M4.3,Establish screening pop.,Client Fulfilment / KYC Ops,Agentic execution,,D3-POPULATION-03; D3-POPULATION-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S7,SCN-POPULATION,Establish screening population,primary,M4.4,Execute comprehensive screening,Client Fulfilment / KYC Ops,Agentic execution,,D3-POPULATION-04; D3-POPULATION-05; D3-POPULATION-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S7,SCN-POPULATION,Establish screening population,related,M4.7,Determine screening outcome,Financial Crime Risk / Compliance,Agentic execution,,D3-POPULATION-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
