"question_id","question","category","affected_scene_refs","affected_requirement_refs","current_assumption","required_confirming_role","assumption_refs","why_it_matters","status","question_zh","current_assumption_zh","required_confirming_role_zh"
"Q-007","Where does Case Manager coordination end and KYC Operations evidence judgment begin?","ROLE_BOUNDARY","SCN-SCOPE|SCN-REQUIREMENTS|SCN-QA","CTT-REQ-001|CTT-REQ-002","Case Manager coordinates; KYC Ops assesses evidence; not confirmed","Client operations owner","ASM-001","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","案件经理协调与 KYC 运营判断的职责边界是什么？","案件经理协调，KYC 运营评估证据；职责划分尚未确认。","客户运营责任人"
"Q-005","Who may authorise final clearance for which entity, product and booking scope?","AUTHORITY","SCN-READINESS","CTT-REQ-007|CTT-REQ-009","Only the configured synthetic reviewer can confirm; bank authority null","Delegated authority and compliance owner","ASM-004","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","谁可以确认哪些主体、产品与 booking 范围的最终准入？","仅已配置的合成复核人员可以确认；银行权限引用为空。","授权委派及合规责任人"
"C-Q-POPULATION","Which parties and categories are required in the screening population and who confirms completeness?","APPLICABILITY","SCN-POPULATION|SCN-MATCH","CTT-REQ-005","Authored scoped inventory; unknown coverage blocks","Financial Crime and policy owner","ASM-003","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","哪些相关方和类别纳入筛查群体，谁确认完整性？","采用编制的限定范围清单；未知覆盖阻止就绪。","金融犯罪及政策责任人"
"C-Q-EDD-APPLICABILITY","Who determines EDD applicability, makes the judgment and approves its outcome?","APPLICABILITY","SCN-EDD","CTT-REQ-005","Independent applicability review; no universal trigger from a possible match","Financial Crime / EDD authority owner","ASM-004","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","谁确定 EDD 适用性、作出判断并批准结果？","独立复核适用性；不会因可能匹配而一律触发 EDD。","金融犯罪／EDD 权限责任人"
"Q-008","What minimum inputs permit Legal and Credit to start preparation before other branches close?","DEPENDENCY","SCN-CREDIT|SCN-LEGAL","CTT-REQ-006","Preparation uses its own permitted inputs; current Credit required before Legal execution","Legal and Credit process owners","ASM-005","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","法务与信贷提前开始准备的最低输入条件是什么？","准备工作使用自身获准输入；法务签署前需当前信贷输入。","法务与信贷流程责任人"
"C-Q-COLLABORATION","Which client submission and secure task channels, authentication and disclosure policies are approved?","CHANNEL","SCN-GAP|SCN-VALIDATE","CTT-REQ-004","Local synthetic request with separate mock authentication and scoped grants","Client channels / security / operations owner","ASM-004","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","哪些客户提交、安全任务、认证与披露渠道已获准？","本地合成请求；模拟认证与限定授权分别处理。","客户渠道／安全／运营责任人"
"Q-009","Which Screening, Conflicts and Risk details may the RM see?","VISIBILITY","SCN-MATCH|SCN-CONFLICTS","CTT-REQ-004|CTT-REQ-005","RM gets allowlisted progress; restricted rationale excluded","Compliance and relationship management owner","ASM-004","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","客户经理可以查看哪些筛查、利益冲突和风险详情？","客户经理仅看到允许披露的进度，不含受限理由。","合规及客户关系管理责任人"
"C-Q-HOLD","Who chooses task, branch or case hold scope and approves release?","HOLD_SCOPE","SCN-CONFLICTS|SCN-LEGAL|SCN-QA","CTT-REQ-008","Unknown scope blocks dependent actions; absence of an edge is not independence","Operations and relevant specialist owner","ASM-005","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","谁确定任务、条线或案件暂停范围并批准解除？","未知范围阻止依赖操作；没有依赖边不证明独立。","运营与相应专业条线责任人"
"Q-010","Which downstream systems receive structured Clear-to-Trade state and what is their acknowledgement contract?","INTEGRATION","SCN-PUBLISH","CTT-REQ-009","Named synthetic outcome register only; no production integration","Trading / risk system owner","ASM-005","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","哪些下游系统接收结构化准入结果，如何确认接收？","仅使用命名的合成结果登记；不连接生产系统。","交易／风险系统责任人"
"Q-011","Who owns publication failures, retry, reconciliation and notification?","PUBLICATION","SCN-PUBLISH","CTT-REQ-009","Case Manager can simulate retry; failure preserves current clearance decision","Operations and downstream support owner","ASM-001","Unconfirmed ownership or rules can invalidate the linked product hypothesis","OPEN_BANK_VALIDATION_REQUIRED","谁负责发布失败、重试、核对与通知？","案件经理可模拟重试；失败仍保留当前准入决定。","运营与下游支持责任人"
