"Capability_ID","Capability_Name","Purpose","Users","Journey_Stages","Product_Behaviour","Human_Boundary","Value_Hypothesis","Source_ID","Assumption_ID","MVP_Candidate","Validation_Status","Name_zh","Supported_Scene_Refs","Required_Data_Objects","Key_Dependencies","Reference_Refs","Requirement_Refs","Human_Boundary_zh"
"CAP-001","Case & Scope Management","Establish one versioned entity and product context","ROLE-CASEMGR","S1","The product shall retain the legal entity, product and scope revision and display unknown booking context explicitly.","Human confirms scope; coordination does not confer signing or trading authority","Establish one versioned entity and product context","SRC-013|SRC-021","ASM-001","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","范围与案件管理","SCN-SCOPE|SCN-ENTITY","Case|CaseScope|LegalEntity|Person|AuthorityRecord","scope|entities|authorities","SRC-013","CTT-REQ-001","人工确认范围；协调资料不授予签署或交易权限。"
"CAP-002","Dynamic Requirements","Make applicable requirements and unresolved applicability explicit","ROLE-KYCOPS","S2","The product shall version requirements for the current scope and retain unknown applicability until an explicit reviewed decision.","Human confirms the requirement set; unknown applicability is unresolved","Make applicable requirements and unresolved applicability explicit","SRC-010|SRC-021","ASM-003|ASM-004","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","动态要求","SCN-REQUIREMENTS","RequirementSet|Requirement|Gap","scope|requirements","SRC-010","CTT-REQ-002","人工确认要求集；未知适用性仍待解决。"
"CAP-003","Evidence & Provenance","Reuse evidence only for a reviewed purpose and current version","ROLE-KYCOPS","S2","The product shall separate artifact receipt from purpose-specific sufficiency and retain prior claims, assessments and versions.","Reviewer records purpose-specific sufficiency with reason; receipt is not acceptance","Reuse evidence only for a reviewed purpose and current version","SRC-015|SRC-021","ASM-004|ASM-005","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","证据与来源","SCN-SOURCE|SCN-VALIDATE","EvidenceArtifact|EvidenceClaim|EvidenceUseAssessment|Requirement","evidence|claims|requirements","SRC-015","CTT-REQ-003","复核人员须记录用途充分性及理由；收到资料不等于接受证据。"
"CAP-004","Client Collaboration","Request only residual facts from permitted contributors","ROLE-KYCOPS|ROLE-RM|ROLE-CLIENT","S2","The product shall show a contributor only explicitly granted request items and preserve partial submission and independent review status.","Request review, dispatch, authentication, grant and business authority are separate","Request only residual facts from permitted contributors","SRC-015|SRC-021","ASM-004","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","客户协作","SCN-GAP|SCN-VALIDATE","InformationRequest|Requirement|EvidenceArtifact","requestItems|requestRecipients|accessGrants","SRC-015","CTT-REQ-004","请求复核、派发、认证、访问授权和业务代表权限分别判断。"
"CAP-005","Screening & Exception Review","Review the right population and distinguish possible matches","ROLE-FINCRIME","S3","The product shall bind runs and findings to a scoped population and preserve unknown coverage and EDD applicability independently.","Specialist makes disposition; EDD applicability has its own reviewed basis","Review the right population and distinguish possible matches","SRC-016|SRC-021","ASM-003|ASM-004","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","筛查与例外复核","SCN-POPULATION|SCN-MATCH|SCN-EDD","ScreeningFinding|Person|LegalEntity|Decision","screeningPopulations|screeningMemberships|screeningRuns","SRC-016","CTT-REQ-005","专业人员作出处置；EDD 适用性需独立复核依据。"
"CAP-006","Specialist Work Orchestration","Continue permitted preparation while exposing scoped waits","ROLE-CONFLICTS|ROLE-CREDIT|ROLE-LEGAL","S1|S4","The product shall show the current Credit condition and the exact revision consumed by Legal while allowing only independently permitted preparation.","Specialists own decisions; preparation, approval and execution stay separate","Continue permitted preparation while exposing scoped waits","SRC-019|SRC-021","ASM-001|ASM-005","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","专业工作编排","SCN-CONFLICTS|SCN-CREDIT|SCN-LEGAL","ConflictReview|CreditCondition|LegalAgreement|ProfessionalCondition","creditConditions|agreementInputs|dependencies","SRC-019","CTT-REQ-006","专业人员负责决定；准备、批准和签署分别记录。"
"CAP-007","Human Decision & Authority","Make accountable decisions explicit and scope-bound","ROLE-CLEARANCE-REVIEWER","S1|S5","The product shall require current scoped readiness, configured authority and an explicit human confirmation before recording clearance.","Only configured synthetic authority can confirm; actual bank authority remains unknown","Make accountable decisions explicit and scope-bound","SRC-020|SRC-021","ASM-004","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","人工决定与权限","SCN-ENTITY|SCN-READINESS","AuthorityRecord|Decision|ClearanceDecision","authorities|readinessSnapshots","SRC-020","CTT-REQ-007","仅已配置的合成权限可以确认；真实银行权限仍未知。"
"CAP-008","Dependency & Hold Management","Explain affected, unaffected and unresolved work","ROLE-CASEMGR","S1|S4","The product shall identify exact affected requirements, evidence uses and downstream dependencies without declaring unmodelled work independent.","Hold owner and release basis must be explicit; absence of an edge is not independence","Explain affected, unaffected and unresolved work","SRC-019|SRC-020|SRC-021","ASM-005","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","依赖与暂停范围管理","SCN-CONFLICTS|SCN-LEGAL|SCN-QA","DependencyEdge|Hold|Remediation","dependencies|holds|qaFindings","SRC-019|SRC-020","CTT-REQ-008","暂停责任人与解除依据必须明确；缺少依赖边不证明独立。"
"CAP-009","Readiness & Clearance","Keep readiness, authorised confirmation and publication separate","ROLE-QA|ROLE-CLEARANCE-REVIEWER|ROLE-CASEMGR","S4|S5","The product shall evaluate all current applicable prerequisites and retain a clearance decision when a separate publication attempt fails.","QA signs off separately; authorised reviewer confirms; publication is a separate simulated action","Keep readiness, authorised confirmation and publication separate","SRC-020|SRC-021","ASM-004|ASM-005","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","就绪与交易准入","SCN-QA|SCN-READINESS|SCN-PUBLISH","ClearancePrerequisite|ReadinessSnapshot|ClearanceDecision|PublicationEvent","clearanceConditions|dependencies|holds|readinessSnapshots","SRC-020","CTT-REQ-009","QA 单独签核，获授权复核人员确认；发布为另一个模拟操作。"
"CAP-010","Audit & Traceability","Explain outcomes and return to saved work without rewriting history","ROLE-CASEMGR|ROLE-QA","S1|S2|S4|S5","The product shall preserve the current saved revision and semantic location across Story, Product, Return, language, print and optional Lab views.","Source support is not bank approval; optional Lab reads only and no injection is enabled","Explain outcomes and return to saved work without rewriting history","SRC-021|SRC-020|SRC-021","ASM-005","NOT_RANKED","DESIGN_HYPOTHESIS_BANK_VALIDATION_REQUIRED","审计与可追溯性","SCN-SCOPE|SCN-GAP|SCN-QA|SCN-READINESS|SCN-PUBLISH","EvidenceArtifact|Decision|ReadinessSnapshot|PublicationEvent","auditEvents|returnToken|source_refs","SRC-021|SRC-020","CTT-REQ-010","来源支持不等于银行批准；可选 Lab 只读，不启用注入。"
