"Acceptance_ID","Requirement_ID","Given_When_Then","Automated_Evidence_Path","Verification_Status"
"AC-F01","CTT-REQ-001","Given Entity A requests FX forward and Person T works for reported parent B; When working scope is recorded; Then Entity A remains the counterparty and coordination does not grant signing or trading authority.","prototype/tests/batch-a.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F02","CTT-REQ-002","Given applicability is unknown; When the requirement set is presented; Then unknown remains explicit and cannot satisfy readiness or become not_required.","prototype/tests/case-engine.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F03","CTT-REQ-003","Given an artifact is received and its purpose assessment is insufficient; When the case is reevaluated; Then the linked requirement stays unsatisfied and file presence alone cannot make the case ready.","prototype/tests/collaboration.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F04","CTT-REQ-004","Given two request items have separate contributor grants; When one contributor submits one item; Then only its receipt changes and the other item and overall clearance stay unresolved.","prototype/tests/collaboration.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F05","CTT-REQ-005","Given population scope is empty, stale or unconfirmed; When screening or readiness is evaluated; Then coverage is not complete and the case cannot become ready.","prototype/tests/screening-engine.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F06","CTT-REQ-006","Given a Credit input changes after Legal consumed it; When Legal is reviewed; Then its consumed version is visibly stale and execution/readiness remains blocked until reviewed.","prototype/tests/specialist-engine.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F07","CTT-REQ-007","Given readiness is ready for authorised confirmation and no decision is recorded; When QA, RM or an unknown role attempts confirmation; Then the action is rejected and no clearance decision is created.","prototype/tests/clearance-engine.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F08","CTT-REQ-008","Given a branch hold with explicit current dependencies; When impact is projected; Then affected work is identified, unrelated work requires an explicit permitted basis, and unknown dependencies remain unknown.","prototype/tests/consolidation.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F09","CTT-REQ-009","Given all applicable prerequisites are satisfied without an authorised decision; When readiness is evaluated; Then it is READY_FOR_AUTHORISED_CONFIRMATION, not CLEARED_TO_TRADE; after an authorised decision a publication failure retains that decision and executes no trade.","prototype/tests/clearance-engine.test.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
"AC-F10","CTT-REQ-010","Given saved work at a scene and viewport; When Product returns after language change or Story/graph/Lab/print is used; Then the latest language and saved revision remain and no view control records a business decision.","prototype/tests/navigation.test.mjs|prototype/qa/batch-f/host-browser.mjs","EXECUTED_RELATED_CASES_NOT_EXHAUSTIVE_SEE_00_governance/batch-f/final-fix-verification/red-team-master.json"
