Process_ID,Node_Title,Stage,Stage_Name,Current_Lane,Target_Lane,Purpose,Accountable_Role,Inputs,Outputs,Decision_Rule_Or_Policy_Ref,Blocked_By,Blocks,Parallel_Allowed,Rework_Trigger,Typical_Elapsed_Range,Failure_Mode_1,Failure_Mode_2,System_Of_Record,Evidence_Status,Source_ID,Notes
C1.1,Intake & initialise legal request,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.2,Determine required agreements / forms,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.3,Draft required agreements,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.4,Incorporate Credit input (if required),C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.5,Negotiate agreement terms,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.6,Obtain internal review & approvals,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.7,Execute agreements,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C1.8,Capture key terms & store executed documents,C1,CGM Legal,CGM Legal,CGM Legal,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.1,Determine credit requirement,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.2,Retrieve & validate financial / exposure data,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.3,Assess counterparty credit risk,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.4,Determine credit limit & conditions,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
